,Density,PoreAvgVolume,henry_coeff
20501N3.cif,0.805153,3412.56,1.3321e-05
19454N2.cif,0.367616,13917.2,1.80952e-05
18150N2.cif,0.880351,1579.26,0.000945742
21101N2.cif,0.432618,14724.1,1.21588e-05
21280N3.cif,0.334821,5251.67,5.99366e-05
21811N2.cif,0.718468,1077.83,7.00707e-05
15030N2.cif,0.555457,2486.36,3.22553e-06
19491N2.cif,0.601732,3475.92,4.63494e-06
22320N2.cif,0.728935,3027.97,8.40145e-06
08030N2.cif,0.518345,5627.72,6.1139e-06
17110N2.cif,0.353252,9253.04,1.139e-05
22290N2.cif,0.960326,905.527,1.8268e-06
22170N2.cif,0.445267,5466.26,4.14018e-06
19000N3.cif,0.207178,10446.1,5.69421e-06
19410N2.cif,0.500051,10329.9,3.09725e-06
13060N2.cif,0.669197,3164.65,9.60607e-06
20169N2.cif,0.572732,5177.78,2.59928e-06
20571N3.cif,0.937543,1307.65,1.22285e-05
14020N2.cif,0.4703,7605.81,7.85674e-06
19401N3.cif,0.310713,3633.03,6.27503e-06
18142N3.cif,0.139365,24593.5,6.86625e-06
21271N3.cif,0.724363,7677.12,1.24517e-05
13120N2.cif,0.661192,1403.52,2.40409e-06
19340N2.cif,0.601994,1682.81,1.13779e-05
16500N2.cif,1.03525,1158.47,0.000554126
16011N2.cif,0.46689,5272.87,2.17963e-05
21313N3.cif,0.250067,14854.8,4.28369e-06
16032N2.cif,0.529438,5612.57,0.00161244
2245hN2.cif,0.597907,5836.35,3.6251e-06
2245iN2.cif,0.357408,8553.53,3.01675e-06
16000N2.cif,0.44457,7657.89,4.27774e-06
18111N2.cif,0.635435,5489.77,8.71641e-06
16020N2.cif,0.721008,2693.06,0.0390343
19281N2.cif,0.550067,9021.24,1.63118e-05
13050N2.cif,0.644587,3178.31,9.65371e-05
20401N2.cif,0.410623,5661.18,9.92723e-06
21190N2.cif,0.317271,11921.9,4.12389e-05
19480N2.cif,0.465942,8161.9,7.32077e-06
21382N2.cif,0.657325,1812.28,1.6534e-05
19540N2.cif,0.656409,4798.63,1.31295e-05
20190N2.cif,0.423158,5600.44,4.35624e-06
21020N2.cif,0.487943,2961.27,9.82585e-06
22220N2.cif,0.214604,57896.4,4.1743e-06
16171N2.cif,0.639697,5588.55,2.86472e-06
15021N2.cif,0.49203,4619.99,0.00424693
19450N2.cif,0.283472,17315.9,2.41365e-05
22251N3.cif,0.281478,34727.0,6.18331e-06
19352N2.cif,0.573437,6091.0,3.0397e-06
19500N2.cif,0.396969,9086.81,7.06332e-05
20531N2.cif,0.505433,10701.3,0.000107659
18100N2.cif,0.382264,6411.06,0.00068024
16430N2.cif,0.776327,1520.22,5.91154e-05
18134N3.cif,0.58135,3095.17,1.27905e-05
20542N2.cif,0.76916,2546.72,7.18083e-06
20010N2.cif,0.393261,18993.9,0.000202318
20350N2.cif,0.643867,4081.26,0.000173316
05001N2.cif,0.585485,3362.59,4.20077e-06
