,cof,h2_77K_1bar,h2_77K_5bar,h2_77K_25bar,h2_77K_50bar,h2_77K_75bar,h2_77K_100bar,h2_198K_1bar,h2_198K_5bar,h2_198K_25bar,h2_198K_50bar,h2_198K_75bar,h2_198K_100bar,h2_298K_1bar,h2_298K_5bar,h2_298K_25bar,h2_298K_50bar,h2_298K_75bar,h2_298K_100bar,Density,PoreAvgVolume,henry_coeff,henry_coeff_198,henry_coeff_298,henry_coeff_77
456,21750N2.cif,1.872995947081,2.2529660972268,2.6383266329172,2.7134312839964,2.7772140442354,2.7944813153154,0.0296991512438,0.1303058065434,0.47594953755657,0.72791710893703,0.87222959297663,0.9936624225536,0.0063130641402334,0.029588152324767,0.13537707017497,0.2394663168964,0.33142199306763,0.39388664102237,1.36695,208.051,,3.08581e-07,6.13616e-08,0.00137708
457,15163N2.cif,9.2749477260515,18.473286734668,28.906374538267,34.28203759027,37.455543033333,39.640935954376,0.1898725844538,0.91503392992279,4.1364300437535,7.4381376448399,10.115908086465,12.424496475541,0.077621867950641,0.375742542881,1.7631363199773,3.4614400935306,4.9725790750385,6.385733226222,0.531445,2624.51,,1.90888e-06,7.64363e-07,0.000163737
458,22300N2.cif,8.6968094604375,18.492057721025,31.915706263973,40.365146225911,46.180668589552,50.821140502926,0.23048773607339,1.0989283893767,5.1107133152814,9.3027940133586,12.863177656756,16.016277448378,0.10355719147498,0.50919094617313,2.395632700178,4.6707176488563,6.8379479004831,8.8439582275171,0.406754,17966.7,,2.32434e-06,1.01968e-06,0.000303883
459,19191N2.cif,10.795269790129,13.642740291996,15.77399182193,16.567458019405,16.8502788854,17.323204405087,0.18271435971429,0.83938017537334,3.0408439394586,4.7015238293785,5.8358184828453,6.6521572849071,0.03962512195942,0.19768148155721,0.87451516078255,1.624216961069,2.2702148162947,2.8356833382712,0.862786,4030.95,,1.87909e-06,3.97239e-07,0.00401461
460,16390N2.cif,9.0806727335662,15.872782308614,24.222227746581,28.133395074447,30.327303217608,31.823403461058,0.17620712539846,0.84545348644674,3.6325725431382,6.3618098982279,8.5560441167363,10.322673770996,0.063924077441655,0.3148024575739,1.4896120094818,2.8241385906086,4.0635310252535,5.2231481277757,0.647484,2741.19,,1.77153e-06,6.43135e-07,0.000334097
461,2245wN2.cif,9.0422039349881,10.551326710606,11.81294592081,12.104278732582,12.133364986658,12.409390481146,0.19502133500519,0.81483835819461,2.4020496139455,3.3503273350746,3.9750822025027,4.4747920423626,0.028521928989373,0.13294557853608,0.61459701644948,1.0528659654471,1.4636946084194,1.7255179222352,0.990164,277.806,,2.01216e-06,2.76107e-07,0.0173672
462,16191N2.cif,16.530339789974,23.264112271766,28.050993167008,29.699817286812,30.568692640212,31.181127329204,0.29124377807085,1.3441861197775,5.1289743870743,8.1590488783011,10.246125266366,11.860715872153,0.073472600670975,0.36081548420346,1.6498942767118,3.0630537353181,4.2885847694545,5.3674928000278,0.699817,4911.11,,3.00783e-06,7.39556e-07,0.00675178
463,16002N2.cif,7.836318924367,16.410260050991,29.542999654777,38.179414436911,44.173715577002,48.675573120914,0.2092966258171,1.0382993107439,4.7002945556519,8.7214392207791,12.180246887364,15.271540184601,0.097102568934615,0.4795190622257,2.2920783937581,4.4881739361817,6.5062673130663,8.4696509586833,0.417357,8751.66,,2.10809e-06,9.73595e-07,0.00013112
464,18141N2.cif,10.27561697557,20.210472545379,31.390659378994,37.435734976913,40.890426785587,43.354767558152,0.21033428408475,1.008207130161,4.5354764258851,8.1655038893064,11.14521674665,13.747103102816,0.083206658135501,0.41800842119175,1.9896643700973,3.8053402843116,5.5109626062221,7.1023013595896,0.49422,3105.74,,2.08886e-06,8.44401e-07,0.000167745
465,20580N3.cif,9.4193395145616,16.670979128873,27.182259282531,32.962254803196,36.181267805949,38.356572770579,0.1879092288947,0.8916617271836,4.0068976709131,7.1241677402699,9.7306706916478,11.932437615184,0.073521730679265,0.3684516243678,1.708665545412,3.3390447415049,4.8215558307223,6.147182688559,0.54026,11375.8,,1.87543e-06,7.42822e-07,0.000209327
466,19462N2.cif,8.6174090189051,16.124969305362,24.707627234093,28.659029061927,30.813509206612,32.254979879845,0.16433750318233,0.7862456013478,3.5184691786402,6.2329543094257,8.3987499827175,10.210559368691,0.0618069213267,0.30919638196521,1.4430796819381,2.7735462437793,4.0106334607723,5.1399608176197,0.650611,2089.59,,1.6605e-06,6.24134e-07,0.000234931
