,cof,o2_298K_1bar,o2_298K_5bar,o2_298K_10bar,o2_298K_20bar,o2_298K_30bar,o2_298K_50bar,o2_298K_80bar,o2_298K_100bar,o2_298K_140bar,o2_298K_200bar,Density,PoreAvgVolume,henry_coeff
89,16173N2.cif,0.293670955071,1.4313739884136,2.749526067704,5.1704324479084,7.2508785152986,10.944228774252,15.359883230567,17.788344685248,21.98294808333,26.876487051895,0.370163,16969.2,3.04208e-06
90,21014N2.cif,0.26992811538896,1.2543135405855,2.4247664688874,4.4186785157216,6.3273709666407,9.5709533601026,13.384912490838,15.424690233763,19.249153175142,23.42596092413,0.399588,6824.09,2.62219e-06
91,20201N2.cif,0.3109051302326,1.4400008032842,2.5485343911957,4.4295213431608,5.9211092602608,8.205130543465,10.777937799497,12.084103148405,13.996682660058,16.145587906089,0.600893,5536.12,3.20613e-06
92,21761N2.cif,0.3431075768129,1.4335952897318,2.6050204032594,4.3498974474818,5.7521158955559,7.8061506702886,9.8943425131731,10.934630733123,12.541808858552,14.136484599071,0.671681,5039.94,3.41487e-06
93,21620N2.cif,0.27373336747751,1.2992114462498,2.4414595697429,4.5366385902524,6.288526280894,9.1430256323646,12.169698158069,13.830224168596,16.24372574545,18.825165769104,0.531772,3217.39,2.80656e-06
94,19003N3.cif,0.43165920702912,2.0855456925997,4.0259673660822,7.9586829987088,11.867507246653,18.667807849536,26.975175921985,31.536358733432,38.457945780174,45.558422260196,0.280825,9146.74,4.22633e-06
95,21312N2.cif,0.35541094659904,1.7177313507115,3.3403079962398,6.4755761299586,9.3228064260043,14.365129639987,20.947360084618,24.863615982765,31.522784290881,39.674218590333,0.242289,15354.5,3.57348e-06
96,21440N2.cif,0.37491778398771,1.6801531104262,3.1587542649783,5.5186643709581,7.4872586164393,10.529627790983,13.868606199055,15.634441837747,18.279585656253,21.14379333882,0.491623,6678.58,3.76858e-06
97,11030N2.cif,0.28325694636791,1.2999815690725,2.3828179764964,4.4174153280384,6.0491039271275,8.6865144640292,11.621207978605,13.065008990274,15.402763796552,17.802286718951,0.552143,3115.42,2.83696e-06
98,22530N2.cif,0.27662920716639,1.3277246402684,2.5680723787116,4.9360507334538,7.1953913923832,11.01505749564,15.969869915059,18.720340427844,23.525573881783,29.256671730771,0.329467,10508.9,2.7754e-06
99,15185N2.cif,0.18746847614456,0.91212164218138,1.7194238500599,3.2820019720557,4.686899355049,6.9406450003559,9.7149262399099,11.339533745886,13.817573553816,16.684711417905,0.569687,5718.53,1.89077e-06
100,21033N2.cif,0.67213348815773,2.9464628908447,5.0537463613398,8.0257574535697,9.7936891359822,12.035707578036,13.819476833311,14.602781605003,15.691855574327,16.733262688258,0.675273,2174.31,6.97272e-06
101,21680N2.cif,0.25642093220609,1.2146170605284,2.2680478763764,4.1045535906205,5.5953512449733,7.679860373881,9.6881571760746,10.550012665661,11.849173552019,13.043539417058,0.723976,2154.38,2.5916e-06
102,21781N2.cif,0.29070245024834,1.3857485077325,2.586346170673,4.6692136720012,6.2935386733694,8.7484914845057,11.034760828651,12.226205339558,13.864204762977,15.505107754269,0.64736,3332.82,2.96044e-06
103,15184N2.cif,0.19591641778241,0.95402358245219,1.8405705045309,3.4764801669248,4.9100149311863,7.4354184555201,10.414320220552,12.136820340176,14.833738518582,17.941796119867,0.534625,7729.59,1.99061e-06
104,19242N3.cif,0.29668288354744,1.0780382017531,1.6196126016719,2.1449165260566,2.4658412261735,2.8314948343062,3.2071163436589,3.2844458015542,3.4723310547449,3.6497865159266,0.940009,924.079,3.3162e-06
105,14073N2.cif,0.2897584553328,1.4208766213711,2.6468878597116,4.9444168361359,7.0146297399817,10.063341790374,13.587285119315,15.335147788315,18.10907707429,21.169922860798,0.493057,7191.76,2.96621e-06
106,21390N2.cif,0.22324037561078,1.0649292463086,2.0878679752396,3.8544532418599,5.3405860529424,8.0387254225166,11.33221850262,12.951505454334,15.623621753271,18.726057979306,0.504451,3814.79,2.24522e-06
107,11000N2.cif,0.42302716916072,1.7891143787741,3.1410446350099,5.1724263455067,6.5892034438338,8.8665680984017,11.289300206963,12.450135109134,14.387438925964,16.365779094362,0.596628,3406.85,4.30443e-06
108,17163N3.cif,0.51450446269235,2.4053523041558,4.756702549617,8.8525677852371,12.535047564591,18.549749587472,25.521506277508,29.140638187337,34.835037090364,40.789761069154,0.311547,17362.2,5.24763e-06
109,20391N2.cif,0.2479848166367,1.1272381096891,2.2067313008569,4.1263259561667,5.6580665830632,8.4102250792989,11.620894109021,13.354647020998,16.280360038574,19.550453817772,0.494729,11400.9,2.50675e-06
110,10000N2.cif,0.29881513373761,1.3514375658788,2.3930464658194,4.0161628509588,4.9594683764388,6.1591951208378,7.1779117744424,7.6217851820779,8.2209353637634,8.8147658457129,0.9605,687.309,3.02763e-06
111,20161N2.cif,0.14842048922064,0.69467237943623,1.3433582159921,2.3634233491925,3.3676097209373,4.9085432225042,6.8862645197546,7.9624396092722,9.7544525111431,11.740984927515,0.631882,4821.01,1.49258e-06
112,17130N2.cif,0.23135359795948,1.0986931291486,2.0693841252507,3.8330843102871,5.328112434175,7.7328343597443,10.535195893344,12.023857504372,14.402376271991,17.074367799421,0.533888,14500.9,2.35851e-06
113,10010N2.cif,0.19835022964464,0.93619531087458,1.8040396959289,3.3085131592355,4.5762285346247,6.5228141014137,8.5841412620544,9.602958653931,11.081329835517,12.574461684205,0.759474,1932.87,2.00182e-06
